text,task_1,split
 fucktrump fuck racist supporters   https   co xwtycvxmit,HOF,train
never gets old  fuck tired sick piece shit loser  fucktrump https   co dmhbu ,HOF,train
 timothyloehman anything  man    liar  murderer    cleveland  clevelandpd  clevelandpolicedepartment  notorehiring  disgracetohumanity   continued  justicefortamir    https   co  fimfaomxk,HOF,train
 maggienyt narcissists need explain  able know exactly communicating times important   fucktrump,HOF,train
 trumpsaninternationaldisgrace  trumpisatraitor  trumpisadisgrace  trumpisafraud  trumpisamonster  trumpisiiar   trumpisanationalsecuritythreat     always  trumpisamoron https   co enzoc omnx,HOF,train
 maltomash  sadietnresist  kodiak     resists  jweber     rhymesradical  dhershiser  kspamplemousse  womanrises  saralies trump  roseymelhill  back dafucup  rulechicago  michelle spenc  lc  summit  rosannaphillip  costavjw  wrath comm  xoxoxostep  nicoxw   naudrey st  minhtngo  cajunblueaz   shelbykstewart  la karma   resistersis    sarah skg       firegoddessb  cianderson   democratscare  prissycrow  ironhorse    suzystays  rosestrain  j mramor  gailpost  quancyclayborne  toni iacobbo  ellewibble  unconquerable  johnnybbaseball  american love  robertgmz   holdthestupid  brazenpolitics  progbeliever  mamabear    bright      ryanfeldman    scoringo   thank todd   appreciate included   hope everyone great day    fucktrump  trumpisanasshole    strongertogether             https   co gsfypcobrv,HOF,train
 morning joe  morningmika say white working class voted trump    mean white  racist    yall make excuses racist  amp   rapist know truth bout   hardballchris  hardball  mondaymotivation  mondaythoughts,HOF,train
raptor fan waving bye durant went wrong sports fans   douchebag  nbafinals    ,HOF,train
bitch   realdonaldtrump  traitor sho try start war iran  simple  boundaries  step far throat ge crush keep title   impeachtrumpnow  breaking  trumpisatraitor  impeachmentinquirynow https   co  oxflip wv,HOF,train
disgusting  change culture come vetting system preventative ways stop occurring  continue happen  catholic church needs go   rapist  childtrafficking  catholicchurch  catholictwitter https   co tb tsod lz,HOF,train
proper planning matches washed rain  one two matches considered every match seems washed said icc  icc  cwc      shameonicc,HOF,train
eddie lampert  douchebag https   co kz lwyvv p,HOF,train
 realdonaldtrump well pot calling kettle zero credibility      maybe lie everything ounce credibility know  trumpisatraitor leaving soon   trumpderangementsyndrome https   co phrumpzqyj,HOF,train
 espncricinfo  worstcwc ever cricket   umpires   rain   domestic tournaments organised better  cwc        shameonicc,HOF,train
 sumitkadei  icc boycott icc world cup       shameonicc  icc mean international chutiyapa council,HOF,train
time last year manager  taylor  practically team look  one  douchebag statement later everyone turns bunch melts         cafc fans need grow fuck   football   charlton    ,HOF,train
 icc problem entire pakistan cricket team marking territory praying cricket field  part muslim ritual prayer  find insignia   msdhoni   gloves inappropriate    dhonikeepstheglove     https   co pzczqpkjbt,HOF,train
 esneet      potus  drrandellwilliams  someone get water north carolina force throat   pervert  murderer,HOF,train
  realdonaldtrump time come get rid  despicablepieceofshit  inviting  foreigninterference  remember  show  believe   impeachtrumpnow  lockhimup  lockthemallup  corruptgop  traitorinchief  trumpisatraitor https   co um htpfgcf,HOF,train
 joshscampbell person ever blocked   murderer  oj   ,HOF,train
 alabama think depending criminals past definitely cases repeat offenders  mentalhealth  sexoffenders  rapist  keep getting prison repeatedly offense  enoughisenough  noano https   co upsrtjtzcu,HOF,train
 losertrump firing pollsters  show running behind across board   invites foreign powers interfere      election    trumpisatraitor   trumpistheenemyofthepeople   trumpisanationalsecuritythreat    https   co v yvi quht,HOF,train
omg cabinet suck round table       dignity   doyourjobmitch  resisters  fucktrump  resisttrump  flipthesenate      theresistance  ditchmitch  ditchmitch      voteblue    ,HOF,train
 icc able see  balidan batch  msdhoni gloves able see clouds  poorly managed icc    shameonicc,HOF,train
icc god  give today tomorrow ask us remove sacred threads worn players religions hands neck     dhonikeepstheglove    dhonikesaathdesh    isupportdhoni,HOF,train
cna arsed way mr mhor tomorrow  dickhead,HOF,train
think dr  shab   deserved reply   sagarikaghose thought pathetic  full communalism  negativity totally madness  better would  ignore    current scenario  single person taking seriously   doctorsfightback https   co hmc qf qqs,HOF,train
 cause perfectly normal carry around international trade immigration agreements one breast pocket   fucktrump https   co feu  att,HOF,train
 glenc          webblakewoman  realdonaldtrump lol  u amuse  done  unlike u life  live parents basement      dickhead    trumponeanddone  dumptrump     https   co hvwopnungi,HOF,train
 doctorsfightback want justice https   co onudohagx ,HOF,train
 gablesteveson hope u get gang banged prison nice life thank god get picture u  rapist,HOF,train
violence  form  subjected anyone wrong  anyone recall  ima speaking  kids dying  brd gorakhpur  due lack oxygen  amp  ajay bhist govt arresting doctors  hide shortcomings       doctorsfightback    https   co awhhrtazow,HOF,train
 meaculpa   mybad   douchebag  bad day took  foxsports  directv   raindelay look scroll  know  read leap  apologies   jerk ,HOF,train
 therealoj    krisjenner oj hour   stfu stf    murderer https   co mmepbwlskv,HOF,train
 shocking  alabama allowing  rapist  access sons   victim  mother  raped   system   cnn  brookebcnn  smh  rapedbyuncle,HOF,train
 gopchairwoman  realdonaldtrump socialism    categorize  already       gopgaslighting    trumpisatraitor https   co hqzuyd fci,HOF,train
oh  ol  uncle col steal michael estate could  save tiger   right        nonsense  liar  colindiamond  thief  murderer   mafia  followthemoney  michaelhutchence  mystify  inxs  tigerlilyhutchence  tigerhutchencegeldof https   co  qj ye yau,HOF,train
 realdonaldtrump impeach  cough  cough  cough  cough  cough  trump  cough  cough  cough  cough  cough       cough  cough  cough  cough  cough  cough  c u g h  c u g h      impeachtrumpnow    trumpisatraitor   trumpisanationalsecuritythreat,HOF,train
 shameonicc  even local cricket tournament better management  amp  planning     thankyou spoiling worldcup  https   co tfyxvoren ,HOF,train
 dungeondining  douchebag day  taking great pleasure muting ass ,HOF,train
 sadiqkhan fuck ate tou smug bastard   fuck enforcing fucking police streets london       dickhead  newmmayorneeded,HOF,train
 dhonikeepthegloves  dhonikeeptheglove  dhoni  dhonikesaathdesh  dhonikeepstheglove      icc   international cricket council code conduct says religious   political activity   symbolism allowed international cricket match pakistan team     https   co tkxqvhzbd ,HOF,train
real talk     support  realdonaldtrump russian sympathizer business american  believe traitor assigned   traitortrump  reasonfortreason  fucktrump  deporttraitors,HOF,train
marco rubio thinks  traitor necessarily believe habitually  lying  potus  murderer mohamed bin salaam  believe lying  murdering iranian clerics either  fuck marco rubio dumb ass ,HOF,train
well done  icc schedule preparation  shameonicc https   co kce awmncg,HOF,train
 priyadoc    drharshvardhan  nonbailable offence   yrsjail            nothing less     doctorsfightback    stopviolenceagainstdoctors,HOF,train
 therealoj   welcome  start chest pains please remember start filming enjoy show case croak   murderer,HOF,train
 werdnat crazy manbaby probably paint gold   gawdy      ihate      worstpresidentever    weaselheadedfucknugget    shutyourshithole    fucktrump    yousuck    liarinchief    noclass    moron    ridusofthisdisease   unfollowtrump              ,HOF,train
 realdonaldtrump presidency trump crime spree   trumpisatraitor https   co btrszhah r,HOF,train
 selectedpm imran niazi writes third letter india pm modi     modikayaar  imrankhan   imranhataomulkbachao   tabdeeli   https   co zgzofopujq,HOF,train
watch  traitortrump face goes orange red   trumplieseverytimehespeaks  trumpisatraitor  callthefbi  happyjohnmccaindayjune   https   co uhtve eu,HOF,train
hypocrite liar mr  selected pm  imrankhanpti   accept failed miserably past    months  stop crying past  show progress go home  could achieve           set goals    imranhataomulkbachao https   co ix  ggp ,HOF,train
love holy  people still worship criminal       criminalinchief  dumptrump  douchebag https   co dbuiupj n ,HOF,train
wow  really drink kool aid   guess cure stupid  though   trumpisatraitor  trumpsworsethannixon  trumpcrimesyndicate https   co tgf rqeckm,HOF,train
mr   collusion  confessed thinks collusion ok   trumpisatraitor https   co xshh caybf,HOF,train
 realdonaldtrump  fakenews right   trumpobstructedjustice  trumpliesmatter  treasonoustrump  trumpsworsethannixon   trumpistrash  trumpforprison      fucktrump,HOF,train
 martinheinrich  trumpisatraitor   trump brags illegal activity  ignorant  cruel  fool  news  amazing  many people defend  see danger talk actions ,HOF,train
love motherfucker       shuts people easily     arabforpresident   fucktrump https   co nnufekxppn,HOF,train
 therealoj   pos needs lose cocky  self assured  fake smile  murderer   people   convicted felon  sickening see smarmy lounge act yet   murderer,HOF,train
 restart      restart iran     realdonaldtrump  foxandfriends  foxnews great president   fucktrump  trumpsanidiot  resist  derangeddonald  trumpcriminalinvestigations  impeachdonaldtrumpnow https   co dvc hswdi ,HOF,train
 markdice exactly   douchebag,HOF,train
time silent  time make use foul mouth  want expletives muster  want dirty finger  china deserves   duterte     dickhead    comes   china,HOF,train
 thehill lmao  douchebag  scandal government corrupt   one hold accountable,HOF,train
 racisttrump retweets  antimuslim extremist  amp  gets exactly deserves  trumpisatraitor  https   co f ackwpfcl,HOF,train
 kojikabu  maggie klaus  joebiden anything get trump hell except cheat like trump       fucktrump  bluewave    ,HOF,train
another horrible decision umpire  umpiring worst quality  cricketworldcup  fuck team suffer human error   shameonicc  engvwi  cwc  ,HOF,train
 pmoindia    narendramodi stand doctor community   work without thinking patients religion   caste tirelessly  like practice sabka vikas     shame  mamataofficial    doctorsfightback,HOF,train
hey trump   lovely ladies got something tell ya        fucktrump https   co whlapamf,HOF,train
 marcorubio mohamed bin salaam    murderer  liar    iranian clerics  murderers liars    trump    compulsiveliar  cheater  thief     see problem  bound happen ,HOF,train
people indian states outsiders  mamataofficial   bangladeshis dear even insiders      doctorsprotest   doctorsfightback   doctorsstrike   doctorsunderopression   doctors   aitcofficial  bjp india   pmoindia  narendramodi,HOF,train
 gandinaaliabuse  aise sansad ki sadasyata khatam kar denge chaiye taki sab ko sabak mil jaaye congress har ke baad pagal ho gayi hai,HOF,train
birthday party one      thamendment   donaldtrump  trump  impeachtrump  impeach  fucktrump   mueller  gop  putin  fuckdonaldtrump  presidenttrump  makeamericagreatagain  maga  notmypresident  mcgahn  donmcgahn   johnmccainday  jackiekennedy  johnmccain  mccain https   co nfq pia wa,HOF,train
dr  kafeel arranged oxygen cylinders money  government respond brd hospital warning regarding shortage cylinders     still khan arrested  court pronounced innocent  ima  casteist doctors  media  twitterati mum   doctorsfightback,HOF,train
 vomit   trumpisatraitor    impeachtrumpnow   happy  johnmccainday   treasonous  weak  lindseygrahamsc   https   co dx c ye jc https   co lijd uvmvj,HOF,train
 therealoj   know quite people would like  get even   murderer  admitted  deserve rot ,HOF,train
 realdonaldtrump good riddance  heffa beast     fucktrump,HOF,train
 dhonikeepstheglove  icc  officials  pcb need remove gloves cost https   co yjtssk kud,HOF,train
 medcrisis kolkata friend  take look  sudanuprising  janjaweed raping  killing throwing doctors river   doctorsfightback  humanrights  sudanmassacres  blueforsudan,HOF,train
 therealoj   getting even     encore going getting even killing kids     douchebag,HOF,train
 strandjunker perfect    plus add     lbs   lockhimup  traitor  rapist,HOF,train
getting even like knife neck  murderer https   co zpitifnwo ,HOF,train
 icc please focus umpiring rather player wear  dhonikeepstheglove,HOF,train
us mexican border  established moral leadership national pride descends falls hades abyss mixes dragon dung  rises stench  trumpisatraitor   compels decent folk spew soul  https   co dm     twr,HOF,train
 realdonaldtrump boom like fake attack japanese ship incompetent tv watching old nasty liar  way get   eric prince   wagthedog  trumpsconcentrationcamps  trumpisatraitor  noiranwar  impeachment,HOF,train
well realisation enough  start    want safe secure atmosphere work      savethedoctors  doctorsfightback    standwithnrs https   co  beuopndbv,HOF,train
english love buffoon boris johnson joke went tragically wrong   news   times https   co aixx v ftc   borisjohnsonshouldnotbepm,HOF,train
 realdonaldtrump  tuckercarlson call  dickhead,HOF,train
 adamcbest  therealoj   lol  ojsimpson  little getting even     thankfully knife blades penetrate twitter account     murderer  therealoj  ,HOF,train
indias worst cm working image  writes shivam vij  dillidurast  explains thinks opponents let succeed n n theprintopinion,HOF,train
actually shocked boris johnson children cant comprehend  someone reproduced   hes fool dangerous fool    softplay  baffon  borisjohnsonshouldnotbepm  borisjohnson  bigchild  fool https   co vk qjwdbq ,HOF,train
 krishgm  dominicraab empty podiums make much noise     borisjohnsonshouldnotbepm https   co ianaefhgyx,HOF,train
 mayukhrghosh zero interest playing god  please treat us either god dog  deserve respect   nothing nothing less        doctorsfightback  savethedoctors,HOF,train
thank  derekobrienmp part dictator govt wb  lost respect  garnered since childhood   doctorsunderoppression  doctorsfightback  doctorsprotest,HOF,train
 uyghur protests  canada  freedom  uyghurs  https   co  xyqwdlxvs   freeuyghur  eastturkistan  china  ccp  boycottchina        rt,HOF,train
 traitortot  realdonaldtrump fascist asshole      trumpfascism pathetically excels deny fact responsible destroying country world stage      trumpisadisgrace  trumpsworsethannixon  trumpsunfit  trumpisatraitor https   co iw ,HOF,train
 realdonaldtrump president united states said moon part mars  ayfkm           idiottrump  donalddufus  verystablegenius,HOF,train
keep press    still publish  intlorgcrime news want keep presenting trump victim meme   whaddya think  metoo  ncadv  adulterer  rapist trump victim     million payment  abortion child conceived ivanka lookalike  https   co qrq kx vax,HOF,train
guilty hell    murderer https   co  lgg cu uh,HOF,train
 doctorsfightback new india agitating fraud leaders  bengal cm lost mental balance  amp  sympathy terrorist  rohingyas put entire state jeopardy  savedoctors agitation also demands  savebengalsavedemocracy  istandwithnrs https   co jhlmfybhaa,HOF,train
 borisjohnson dont forget comb  toupee  also pubic hair  bloody nterrible rat urinating moral   politics  la  trump   nfuck go away  thank  pic twitter com foewoxkq,HOF,train
miss president like  barackobama smart  well spoken  educated  understood governments work  amp  collude foreign countries win election     realdonaldtrump   trumpisatraitor    trumpisanationalsecuritythreat    trumpsaninternationaldisgrace,HOF,train
hypocrisy  audacity  stone faced liar president   protectlgbtq  humanrights  fucktrump  pride  notmypresident    pride month  trump nothing proud  activists say  https   co dndepsyvm ,HOF,train
 realdonaldtrump  oann delusional donnie  lying   trumpisatraitor  trumpcriminalinvestigations  bluewave    ,HOF,train
pretending president says nothing  smfh     fucktrump https   co f  vmrdrrm,HOF,train
oval office moron   lt heavy sigh gt   fucktrump https   co moddhxol x,HOF,train
sentence man    years drug legal states man   months crime literally committed another person  michaelwysolovski  rapevictims  revolt  rapist  stopabuse  protectourchildren  nojusticenopeace https   co rq hmw  ,HOF,train
 realdonaldtrump sure big show  offer america  big show    trumpisamoron    trumpisadisgrace    dotard    trumpisnotabovethelaw    trumpisatraitor,HOF,train
 safer  amp  prosperous        oh fuck already    ivankatrump  impeachtrump  trumplieseverytimehespeaks  trumpisnotabovethelaw  trumpisatraitor https   co bwp  vip b,HOF,train
last time muslim representaves present something  created pakistan   warispathan  ncc    republic  aranganathan    gandinaaliabuse,HOF,train
years hard work worthy white coat                       instead saving public blood  got stained  savethesaviour   doctorsfightback  treatusashumans https   co jsxtxkvie ,HOF,train
 realdonaldtrump sir  one guilty treason  stop letting russia run america  accepting bribes important democracy  really       trumpisatraitor  trumpsoldoutamerica  trumpcanbebought  trumptherussianasset,HOF,train
anywhere escape shite   fucktrump  ibelieveher  istillbelieveher https   co rfgor khlk,HOF,train
tommy spot think also fuck curtis  dickhead  loveisland,HOF,train
 gandinaaliabuse   think anyone sympathise comment made  every time congress made statements  bjp advantage  asif bhamla  political commentator   president  bhamla foundation ,HOF,train
 realdonaldtrump good job dems  get anything done  kingdipshit repugs anyway  vote anything   screwmitch  fucktrump,HOF,train
terrifying  part    news cycle  msm needs stop salivating    idiotic speeches  amp  nonsense hammer policy every time public   fucktrump https   co lstxri gjc,HOF,train
  douche canoe                douche  douchebag  douchebags  doucheflute  douchecanoe  douchebaggery  douchefan  douchehound  douches  doucher  douchebagselfie https   co q ooans ,HOF,train
ready angrily yell facts television   fucktrump  fuckyowall,HOF,train
club level cricket big event  comes ones four years  really frustrating badly  shameonicc,HOF,train
fuck boris keep finding women sleep   looks like preschooler drew rapists face chunk uncooked sausage meat  borisjohnson  borisjohnsonshouldnotbepm pic twitter com   e rypbwn,HOF,train
highly shameful  everything  wrong doings still idiots coming debate still maintaining stand  really humans   surprised know cannibals   n gandinaaliabuse,HOF,train
saudi crown prince calls  decisive stand  iran   murderer gave murdered u  jamalkhashoggi thing disgrace world leader     dealing w better  disgraceful murderer  pissonyou  https   co vbhypmfqjp,HOF,train
 realdonaldtrump anyone told today much fucking tool      ok   fucking tool      great day     impeach    fucktrump,HOF,train
 johnpavlovitz  realdonaldtrump perhaps prefer  rapist  billclinton  murderer  hillaryclinton  ,HOF,train
 mamataofficial  mamtalosingcontrol  mamatabanerjee    doctorsfightback    despite heroics past  sadly mamta di remembered arrogant ignorant desperate miss mayhem time come    ,HOF,train
doctors india   mandir ka ghanta stop treating us like    doctorsfightback https   co pgro kufay,HOF,train
fantastic  chuckaumanna best prove politicians flakey deep rooted values   liberaldemocrats  dickhead apparently eyeing leadership  couldntmakeitup,HOF,train
 realdonaldtrump  knobhead  distraction make  tinymushroom seem bigger unfitness  potus   fool  stop     impeachtrump    impeachmentinquirynow    derangeddonald    moron   idiotinchief    brokahontas   billiondollarloser    dickhead https   co z w ccd ,HOF,train
 dhonikeepstheglove anything abrahamic cricketing countries display field   ok   cricket journos writers  including indian  high population  hinduphobic leftists  hypocrisy clear indication  hinduphobia come ,HOF,train
 amateuradam unqualified men power always opinion something nothing  amp  want enforce  ffs       dickhead,HOF,train
 realdonaldtrump spanky  fart tweeting inhaling nambian covfefe front faux fox news  hope practising biglyest nazi salute  amp  goose steps  trumpisatraitor  trumpisamoron  impeachtrumpnow  trumpcrimefamilyforprison  trumpisaracist  derangeddonald  trumplies https   co ncc lhoa,HOF,train
 icc worried things rather sign patriotism  msdhoni gloves huh  dhonikeepstheglove  indvsaus  iccworldcup     https   co dplecrwhyt,HOF,train
 andrewyang  president  happened commit felonies  treason  election fraud  unprecedented level criminality  think giving pass potus absurd   fucktrump,HOF,train
 lac     iainagrahamrfc copying format  rapist ,HOF,train
 dhonikeepstheglove  u eyes  icc  observe  https   co rbc dqulbf,HOF,train
back man morals  clue could give fuck anyone  sounds stupid idea  pic twitter com lbfywp e,HOF,train
anticipated tournament wasted  shameonicc ,HOF,train
 inaik   trendulkar  icc matter tickets already sold advance month    profithunter  shameonicc,HOF,train
 tmz gross like    drugger  rapist  robber,HOF,train
 dickhead https   co  cnjxywxyd,HOF,train
 realdonaldtrump another trump stooge  enabling  sheep like trump shame saying would break law right faces  always tool come defend   fucktrump https   co gwtwutc  p,HOF,train
think people vote using filthy language pm highly mistaken  gandinaaliabuse,HOF,train
 badendido  terrycurran    defence blame local beer holy mother jesus strong     stoppage first half ref blew half time    thought full time started heading ground  dickhead,HOF,train
guy reported rapist see imedietly call cops   rapist  gangbang https   co  r r qzbbr,HOF,train
 icc think u work rather seeing dhoni gloves   u suggest u improve quality ur great umpires   plz go improve quality bcz  dhonikesaathdesh    dhonikeepstheglove    balidanbadge,HOF,train
people including feeling today sob trump birthday lol   mood  fucktrump  villageidiot  byefelicia https   co  vqvpfc,HOF,train
hey  jack   yoohoo  yes  j rk     chaochow connections  eh   two se skimmin  ya   like takin   us personal cash machine     douchebag    kochbrothers got ring nose   https   co idbpoxrmlw https   co  c hekna,HOF,train
 realdonaldtrump thanks  exposing  jon stewart jewish  bigot  douchebag,HOF,train
 doctorsfightback    doctorsprotest      blood    doctor  hand https   co u nwvzc cw,HOF,train
happy john mccain day  fucktrump,HOF,train
 gopleader either unable read  corrupt felon chief complicit helping cover crimes committed   fucktrump  trumpcrimefamily  impeachtrumpnow,HOF,train
 ivankatrump happy  johnmcainday   trumpisatraitor,HOF,train
trump sided saudi crown prince assassination washington post journalist jamal khashoggi  lived united states  kushner supported well  pathetic disgusting  bunch damn traitors   trumpisatraitor,HOF,train
 actbrigitte ahhh trump feelings get hurt   bad  johnmccainday  johnmccaindayjune   trump  derangeddonald  trumpisatraitor  trumpsaninternationaldisgrace  sarahsanderslied  ditchmitch  trumpmustresign  lawlesspresident  johnmccainday  fridaythoughts,HOF,train
 megan          psychdr     thedailybeast fairness  jamalkhashoggi   mbs  duplicitousscumbag  murderer   way  saudis also funded  terrorism    afghanistan  taliban   alqaeda   lashkaretaiba  let   alnusrafront  power  amp  religion   sunni vs  shia   yemencantwait   yemen    nomorewars,HOF,train
 realdonaldtrump  marshablackburn psst    continuing    nervous af huh  oversight shouldnt bother transparency  right   moscowmitch obstructs amp  ability govern    ticktock    trumpisatraitor,HOF,train
 realdonaldtrump good build wall around arkansas   fucktrump  fucksarahhuckabee,HOF,train
nothing say       pakistan cabinet minister             gandu  gandu hain gandu rahega       dhonikeepstheglove    dhonikesaathdesh https   co j  zty  ,HOF,train
 chilkoti   maryashakil  hd kumaraswamy  officeofknath lookin like sit lunch home nuclear family      congressmuktbharat,HOF,train
 cwc    shameonicc fantastic planning creating fixtures england matches  look weather predictions  indvspak  engvsafg  venue different days different weather expected  icc directly hand trophy england dan playin like,HOF,train
 cj isnowblue  realdonaldtrump working final biggest bankruptcy ever  buhleave      thebiggestloser   thefattestloser    presidentialfatassment     fucktrump  fucksus,HOF,train
 pakmoksabhi build  indvspak match   th  take strong objection  kirenrijiju pls something expect anything  bcci saw  dhonikeepstheglove issue left us red faced,HOF,train
 gandinaaliabuse   adhir choudhry know canal bengali  kaandor  naali  noddoma  birbhum bengali  stop fooling people ,HOF,train
episode     fuck tommy  molly mae every right fuming   literally going round boys saying head turned yet like lucie molly mae girl walks villa turn head    pathetic  loveisiand  dickhead,HOF,train
fat fucks gonna fat fuck n njason would know plenty    n npaging doctor freud     pic twitter com dyfm  ,HOF,train
 realdonaldtrump   says guy installed putin      notmypresident    impeachtrumpnow    trumpisatraitor,HOF,train
 gandinaaliabuse  see frustrated losers  pathan  chopra  srivastav  bhamla gandi naalis people vote ,HOF,train
wc      trophy replaced officially      icc  shameonicc https   co qsgi   l,HOF,train
 icc better focus hiring good umpires rather eyeing dhoni gloves       bcci  cwc    cricketworldcup    worldcup      msdhoni  dhonikeeptheglove  dhonikeepthegloves  dhonikeepstheglove  dhoni https   co caumjnbkce,HOF,train
 fredonair omg seriously trying justify douchebag   illegally using handicap placard hope get caught every single time      ticket  waitingbythephone  douchebag,HOF,train
 doctorsfightback   nation suffer mentally deranged psychotic leaders   nation failed generate visionary leaders  https   co wcql jg nc,HOF,train
 realdonaldtrump knew one supported stupid idea   derangeddonald  billiondollarloser  trumpiscompromised  idiottrump,HOF,train
 alexandrachalup correct trust   trumpisatraitor,HOF,train
congress forget modi pm india definitely deserves respect  congress immediately apologize low standard comment  congress  gandinaaliabuse  gandinaaliinsult  bjp,HOF,train
trump fascist regime destroying country   fucktrump  theliberalresistance  liberalresistance https   co nz    ,HOF,train
 yes  think politicians thought leadership debate bit daunting                   borisjohnsonshouldnotbepm    bollockstoboris    bollockstobrexit https   co bbaqxpdjuj,HOF,train
much  feeling well  wanted say hi everyone  also wanted celebrate today  june   th  john mccain day   oh  f  k trump      johnmccaindayjune  th  johnmccainamericanhero  trumpisadisgrace  fucktrump https   co ryzfilqlpa,HOF,train
national untidy  spoiled trust fund fuck split country  look mirror makes comment like  virtuous  ideological ways killed economy future kids gkids   douchebag https   co   dbwlvf  ,HOF,train
tjer whole doctor even burn book  fuck man  mmabtho went durban naye  thequeenmzansi pic twitter com ihyevzac f,HOF,train
 matthancock  borisjohnsonshouldnotbepm    ever    threats  kill  borisjohnson fabricated  ftac     https   co  srpbcqxuw,HOF,train
 therealoj   going  hold people accountable      realize longer anything punchline  right      murderer,HOF,train
 realdonaldtrump  senatemajldr  markwarner shame  worstpresidentever    amp  little crooked  lying  senatemajldr  destroying america  nervousdonald   trumpcrimefamily   trumpisatraitor   mitchmustgo   delusionaldonald   must go  johnmccainday  yes  johnmccainday  american hero trump ,HOF,train
counted least     tremendous   amp     billions agolf speech     doyourjobmitch  resist  fucktrump  resisttrump  theresistance  resist,HOF,train
 hillaryclinton     never  president   presidentialfailure  benghazi  neverforget  worstsecretaryofstateinushistory  murderer  ambassadors,HOF,train
one witch  many go      impeachtrumpnow   resist   impeachdonaldtrump   gopcomplicittraitors   gopwaronwomen   traitortrump   impeachthemf   fucktrump   sarahsanderssucks https   co n alczjw,HOF,train
 borisjohnson fucking laugh  plans cut taxes rich come proposed raise employee national insurance  fuck pay people richer even money  dont fucking need   tory pic twitter com pvr enzdwi,HOF,train
 realdonaldtrump naw  good   stay      ihate      worstpresidentever    weaselheadedfucknugget    shutyourshithole    fucktrump    yousuck    liarinchief    noclass    moron    ridusofthisdisease   unfollowtrump              ,HOF,train
 gop least warren plan traitor    goptraitors   trumpisatraitor https   co  lslpsbved,HOF,train
hope go shopping covers weekend  icc     shameonicc  cwc   https   co uctfo yw,HOF,train
 jamesmcelweejr  notcapnamerica  kittehdissident  dummieyblondiey  berniesanders simply pointing writing something article necessarily mean someone said  moreover   right  young people voted could change world   douchebag,HOF,train
dear world   meet  borisjohnson   cowardice personified  fraud  like man behind curtain  wizard oz  master manipulation  lies deceit  may grasp    downingstreet short lived   number  cat deserves better       borisjohnsonshouldnotbepm https   co uq  f vwu ,HOF,train
  derekobrienmp   quizmaster    quiz   ask moronic boss solve n behave   pmoindia   timesofindia   doctorsfightback    kolkata   aitcofficial   india https   co bp f lsny ,HOF,train
 therealoj   go back rock crawled   murderer,HOF,train
 barrylowday    whip beer cans reverse     dickhead,HOF,train
 trumpisnotthemessiah  trumpisacriminal  trumpisanationalsecuritythreat  trumpisafraud  trumpisatraitor  trumpisamoron     belief trump messiah rampant dangerous   psychology today https   co texc agk,HOF,train
 joncoopertweets trump pay bills   never never   u must sue court  trumpisatraitor    isacriminal  trumpcrimefamily  mcconnellmustgo  mcconnellchaocorruption,HOF,train
 gop  realdonaldtrump  traitor  america     fucktrump  trumpmustresign  trumpmustbelockedup  americansforimpeachment  trumpisatraitor  treason https   co kbaw vjwkn,HOF,train
 gandinaaliabuse ashamed see unscrupulous  uncouth  illiterate  selfish politicians abuse every indian reflecting poorly elected pm largest democracy,HOF,train
 icc  iccworldcup     money without brains england hosting time preparations  looks like  worldcup     swimming cricket     dhoni case time  amp  energy   hypocrite think  icc thinks  thanos     shameonicc https   co  fwmcrkcmy,HOF,train
 kevindurant suck    left team alone     douchebag,HOF,train
understand stupid one let go arrogance ego whole fukin state      doctorsfightback   dididividesindia,HOF,train
calling top country cricket ground  compare covering th ground indian grounds   shameonicc  imvkohli  icc  bcci https   co euqjzq ya ,HOF,train
white coat color   dont divide doctors political party  stopviolenceagainstdoctors    doctorsfightback https   co eu xyjufdb,HOF,train
 repmikejohnson happened  mike         fucktrump  fucktrump  fucktrump https   co nktocgpu j,HOF,train
 murderer plain evil  amp  ur dept took minion word zero proof  ur deranged  culpable killer  always backed blue  amp  always  never stand cruel evil criminals      furlivesmatter,HOF,train
 bonnietowner  fucktrump    melanoma    resist    johnmccainday   melania trump whore   trump fucking disgrace     mushroomdick   tinyhandshitler    trumphastinyhands,HOF,train
common people bengal doctors community also understands difficult work live dictatorship mamata banerjee people profession communities joining hands  savebengal didi   savethedoctors  doctorsfightback https   co  b yu mh,HOF,train
dear  icc    reserve days wc matches  wc match u r regular  dy matches  comes   year  u vigilant choosing venues    apologise every cricket fans mess      shameonicc https   co p frn dzij,HOF,train
 adult sharing video oral sex articles cat fuck gay video oral sex oral doctor usa video xxx dating uniform fucked daddy real online sex fuck bisexual oral translate india sex video pic twitter com mf rusluwe,HOF,train
 doctorsfightback   mamata banerjee repeats  outsiders  claim doctors  protest kolkata  even doctors across india stand together demanding assurance safety  tune watch address  live   https   co lgcyjuebn  https   co ezp zidmba,HOF,train
love  london     thank support     fucktrump  trumpvaginaneck  impeachthemotherfucker https   co tzt n nngu,HOF,train
responsible issues must prosecuted  including trump  pence  mcconnell  others  lock overcrowding  filthy  lice infected  food water  heat  personal items  bedding  etc  ,HOF,train
 gandinaaliabuse nadvir ranjan ch madrasa banerjees waste bengal  mc mps house  rabul gandhi like ass hole  dripping shit,HOF,train
